record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
842960;Leaf-shaped arrowhead;;33;19;4;;5.66;1;NEOLITHIC;-4000;-2350;Purbeck,Dorset;12510;77
842142;;;-29.5;15.2;3.4;;1.46;1;NEOLITHIC;-2700;-2350;West Lindsey,Lincolnshire;11059;46.4
838739;;;69.1;14.43;8.89;;11.44;1;MEDIEVAL;1250;1500;Braintree,Essex;5759;59
838091;Leaf shaped;;24;16;2.5;;1.16;1;NEOLITHIC;-4000;-2200;Forest of Dean,Gloucestershire;14277;46.4
837251;;;19.25;17.85;3.61;;0.83;1;BRONZE AGE;-2500;-1500;Mole Valley,Surrey;5603;66.2
837250;;;21.95;18.62;3.57;;1.27;1;BRONZE AGE;-2500;-1500;Mole Valley,Surrey;5603;66.2
837248;;;-29.03;22.48;;;2.85;1;NEOLITHIC;-4500;-1500;Mole Valley,Surrey;5603;66.2
833451;;;22;20;3;;;1;NEOLITHIC;-4000;-3001;Breckland,Norfolk;12395;75.2
832934;Oblique;;40.5;25.2;7.3;;;1;NEOLITHIC;-2700;-2200;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
827342;;;40;19;3;;2.69;1;NEOLITHIC;-4000;-3500;Rutland,Rutland;14011;69.8
825155;;;30;21;-4;;3.23;1;NEOLITHIC;;;Melton,Leicestershire;14135;51.8
824106;;;26.11;21.59;2.96;;1.82;1;NEOLITHIC;-4000;-3000;Waveney,Suffolk;12451;59
822945;;;42.01;24.14;4.32;;5.97;1;NEOLITHIC;-4000;-3000;Babergh,Suffolk;7185;68
822101;;;39.17;18.-87;4.43;;3.41;1;NEOLITHIC;-4000;-2000;Waverley,Surrey;11996;46.4
818514;;;64.1;29.6;7.5;;11.7;1;MEDIEVAL;1200;1400;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
818024;;;26.2;17.7;4;;1.68;1;NEOLITHIC;-2700;-1600;Cherwell,Oxfordshire;7854;53.6
816793;;;46.19;;;;;1;MEDIEVAL;1241;1263;City and County of the City of London,London;10081;64.4
813238;;;32;38;8;;8.53;1;NEOLITHIC;-3000;-2200;Cornwall,Cornwall;5886;50
813237;;;14.5;15;3.5;;0.84;1;NEOLITHIC;-2800;-1600;Cornwall,Cornwall;5886;50
812575;barbed and tanged;;24;20;4;;1.53;1;BRONZE AGE;-2350;-1500;Charnwood,Leicestershire;7307;64.4
811120;;;25.3;20;4.4;;1.7;1;BRONZE AGE;-2150;-1600;Cherwell,Oxfordshire;7854;53.6
807463;;;19.77;17.51;2.88;;0.86;1;NEOLITHIC;-3500;-1500;Malvern Hills,Worcestershire;6515;59
807122;;;24.9;17.3;3;;1.45;1;NEOLITHIC;-2700;-2350;West Lindsey,Lincolnshire;11059;46.4
805249;;;29.2;20.05;3.97;;1.8;1;BRONZE AGE;-2350;-1600;Northampton,Northamptonshire;13951;60.8
805222;oblique;;49;26;7;;69.400;1;NEOLITHIC;-2700;-2350;Rutland,Rutland;14011;69.8
803380;Barbed and tanged or reworked leaf shaped;;31.4;19.7;3.6;;1.7;1;NEOLITHIC;-4000;-1601;Huntingdonshire,Cambridgeshire;13549;53.6
800834;;;31.35;17.44;3.99;;1.6;1;BRONZE AGE;-2500;-1500;Bromley,London;9287;71.6
799724;Leaf-shaped;;51.66;38.15;6.67;;14.91;1;NEOLITHIC;-4000;-3300;Suffolk Coastal,Suffolk;5788;77
799188;;;34;16.8;4.7;;2.36;1;BRONZE AGE;-2350;-1600;North Lincolnshire,Lincolnshire;10663;77
795890;;;23.1;20.8;3.5;;1.93;1;BRONZE AGE;-25000;-15000;Tonbridge and Malling,Kent;11692;48.2
795652;;;37.37;18.27;4.46;;5.86;1;MEDIEVAL;1200;1500;Braintree,Essex;5759;59
794896;;;30.53;16.54;3.24;;1.55;1;NEOLITHIC;-4000;-2300;South Hams,Devon;14067;73.4
794190;;;21.5;10.42;2.93;;0.5;1;BRONZE AGE;-2350;-800;Richmondshire,Yorkshire del Norte;12059;73.4
793837;;;53;25;5.5;;5.4;1;BRONZE AGE;;;Bournemouth,Dorset;10145;62.6
791394;;;30.72;22.12;8.3;;1.55;1;NEOLITHIC;-3000;-2000;Mole Valley,Surrey;5603;66.2
791390;;;36.08;22.27;9.85;;3.45;1;NEOLITHIC;-2500;-2000;Mole Valley,Surrey;5603;66.2
791389;;;24.89;18.05;4.25;;1.48;1;BRONZE AGE;-2500;-1500;Mole Valley,Surrey;5603;66.2
790094;Triangular;;24;20;5.7;;2.11;1;BRONZE AGE;-2350;-1600;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
788447;;;29;17;4;;1.57;1;NEOLITHIC;-4000;-23351;Charnwood,Leicestershire;7307;64.4
787998;;;21.3;17.41;3.62;;1.55;1;NEOLITHIC;-4500;-1500;Woking,Surrey;13857;59
787673;;;49.8;13;;9;8.1;1;MEDIEVAL;1200;1270;West Oxfordshire,Oxfordshire;5884;73.4
787044;;;20;16;1.2;;1.79;1;BRONZE AGE;-1275;-1140;Newark and Sherwood,Nottinghamshire;8646;69.8
786072;;;18.39;11.1;2.58;;0.4;1;BRONZE AGE;-2350;-800;Northumberland,Northumberland;12396;50
786069;;;15.05;14.28;3.19;;0.6;1;BRONZE AGE;-2350;-800;Northumberland,Northumberland;12396;50
785014;;;22.36;23.69;6.16;;1.93;1;BRONZE AGE;-2500;-1500;Wiltshire,Wiltshire;7406;46.4
784817;;;23.4;19.3;4.8;;2.05;1;NEOLITHIC;;;Tonbridge and Malling,Kent;11692;48.2
783119;;;26;18;3;;;1;NEOLITHIC;-4000;-2351;South Norfolk,Norfolk;13210;53.6
782690;;;37;27.4;9.3;;10.02;1;NEOLITHIC;-4000;-2351;Isle of Wight,Isle of Wight;7100;57.2
781438;;;30.7;17;3.8;;2.1;1;NEOLITHIC;-4000;-2900;West Oxfordshire,Oxfordshire;5884;73.4
781430;;;20.1;14.8;5;;1.2;1;BRONZE AGE;-2150;-1500;West Oxfordshire,Oxfordshire;5884;73.4
780647;Triangular;;43.4;34;6.4;;8;1;NEOLITHIC;-3300;-1000;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
777724;Tanged;;30;;15;;;1;NEOLITHIC;-2000;-1500;North Kesteven,Lincolnshire;10147;69.8
777716;;;107;;;;;1;UNKNOWN;;;South Kesteven,Lincolnshire;13611;55.4
777238;;;43.3;27.6;9.1;;6.8;1;NEOLITHIC;-2700;-2350;West Oxfordshire,Oxfordshire;5884;73.4
773841;;;22.7;16.5;3.9;;0.9;1;BRONZE AGE;-2000;-1500;Ryedale,Yorkshire del Norte;7953;71.6
773686;;;26.84;19.12;2;;2.54;1;BRONZE AGE;-1275;-1140;West Dorset,Dorset;11111;46.4
771478;;;56.3;36.8;8.1;;17.39;1;NEOLITHIC;-4000;-1600;St. Albans,Hertfordshire;10745;75.2
769367;;;18;17;3;;0.94;1;BRONZE AGE;-2500;-800;Charnwood,Leicestershire;7307;64.4
767895;;;33.62;15.27;6.02;;2.99;1;NEOLITHIC;-4000;-2000;Reigate and Banstead,Surrey;14590;69.8
765947;;;47.95;23.77;5.86;;7.19;1;NEOLITHIC;-3000;-2200;Arun,Sussex Occidental;10288;55.4
762635;;;47.91;12.52;7.81;11.54;6.11;1;MEDIEVAL;;;City and County of the City of London,London;10081;64.4
761121;;;69.8;48.3;4.1;12.1;17.3;1;MEDIEVAL;1100;1500;Winchester,Hampshire;10715;62.6
757757;;;35.6;36.8;3.6;;4.5;1;NEOLITHIC;-3300;-1000;West Lindsey,Lincolnshire;11059;46.4
757498;Oblique;;40;38;7;;6.58;1;NEOLITHIC;-3000;-2200;North Somerset,Somerset;12452;75.2
757142;;;60.3;31.5;11.2;;19.64;1;BRONZE AGE;-2350;-801;Isle of Wight,Isle of Wight;7100;57.2
754308;;;30.2;17.5;3.5;;2.38;1;NEOLITHIC;-2500;-1500;South Lakeland,Cumbria;7070;62.6
753613;;;;;;;;1;NEOLITHIC;;;Conwy,Gales;9922;53.6
752762;;;124.24;18.06;5.4;;19.88;1;EARLY MEDIEVAL;;;City of Westminster,London;11049;59
752526;;;48.09;19.51;4.16;;6.44;1;BRONZE AGE;-2150;-1500;Mid Suffolk,Suffolk;13435;62.6
751865;;;43.45;15.66;;;7.58;1;MEDIEVAL;1200;1500;East Hertfordshire,Hertfordshire;12511;69.8
750137;;;24.1;21.6;4.9;;1.9;1;BRONZE AGE;-2300;-1600;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
747392;;;29.28;24.21;2.96;;2.96;1;NEOLITHIC;-4000;-2000;South Oxfordshire,Oxfordshire;7733;50
746953;Trangular;;29.6;18.6;3.4;;1.8;1;NEOLITHIC;-2700;-1600;Hambleton,Yorkshire del Norte;10174;50
746448;Oblique;;38.57;26.18;3.75;;3.19;1;NEOLITHIC;-2700;-2551;Babergh,Suffolk;7185;68
744947;;;25;12;3;;1.01;1;NEOLITHIC;-3500;-2500;Melton,Leicestershire;14135;51.8
744411;;;29;16.7;3.6;;1.39;1;NEOLITHIC;-2500;-1500;Wiltshire,Wiltshire;7406;46.4
744225;;;21;17.8;4.4;;1.53;1;NEOLITHIC;-2500;-1500;East Devon,Devon;8281;64.4
743876;;;24.22;18.36;4.45;;1.71;1;NEOLITHIC;-2700;-2551;Babergh,Suffolk;7185;68
742218;;;;;;;;3;MEDIEVAL;1200;1450;West Berkshire,Berkshire;5205;77
740095;;;38;15;10;;6.57;1;MEDIEVAL;1300;1500;Cotswold,Gloucestershire;9557;68
740095;;;38;15;10;;6.57;1;MEDIEVAL;1300;1500;Cotswold,Gloucestershire;9557;62.6
738624;;;31.5;15;4.5;;;1;NEOLITHIC;-3000;-2351;North Norfolk,Norfolk;9742;68
738332;;;60;13;9;;9.13;1;MEDIEVAL;1200;1500;Cotswold,Gloucestershire;9557;51.8
738218;;;23.3;14.9;4.1;;2.4;1;UNKNOWN;43;1650;Stafford,Staffordshire;12032;64.4
737754;;;53.17;14.17;11.41;;13.58;1;MEDIEVAL;1241;1263;Southwark,Southwark;7031;73.4
736608;Barb and tanged arrowhead;;19.39;18.37;5.43;;1.26;1;BRONZE AGE;-2350;-801;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
736602;Barb and tanged arrowhead;;25.83;21.24;5.14;;1.67;1;BRONZE AGE;-2350;-801;East Riding of Yorkshire,East Riding of Yorkshire;13250;73.4
736597;Barb and tanged arrowhead;;18.53;16.22;3.45;;0.8;1;BRONZE AGE;-2350;-801;East Riding of Yorkshire,East Riding of Yorkshire;13250;69.8
735686;;;27.45;18.8;5.17;;2.15;1;BRONZE AGE;-2500;-1500;Reigate and Banstead,Surrey;14590;46.4
